nombre_evento,url_evento,codigo_postal,direccion,horario,organizacion,fecha_inicio,fecha_fin
Asombro,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=85b965d37f624910VgnVCM1000001d4a900aRCRD,28045,PLAZA LEGAZPI 8,,Matadero Madrid,2025-01-18,2025-03-23
Baile de Mayores en Centro Cultural Almirante Churruca,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=beaf2f9cb66d1610VgnVCM2000001f4a900aRCRD,28024,CALLE FUENTE DEL TIRO 72,16:30,Centro Sociocultural Almirante Churruca (Latina),2024-10-04,2025-06-27
Baile de Mayores en Centro Sociocultural El Greco,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=77922f9cb66d1610VgnVCM2000001f4a900aRCRD,28011,CALLE EL GRECO 29,18:00,Centro Sociocultural El Greco (Latina),2024-10-03,2025-06-26
Beethoven. Del corazón al corazón,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3cd9168eeb173910VgnVCM1000001d4a900aRCRD,28014,CALLE ALAMEDA 15,,Espacio Cultural Serrería Belga,2024-12-03,2025-03-30
Biblioajedrez,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=37340defdf5e1910VgnVCM2000001f4a900aRCRD,28024,CALLE GRANJA DE TORREHERMOSA 1,18:00,Biblioteca Pública Municipal Ángel González (Latina),2024-09-30,2025-05-26
Bodegones y Madrid,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=a903ec7bdcf54910VgnVCM1000001d4a900aRCRD,28022,CALLE FEBRERO 4,,Centro Cultural José Luis López Vázquez (San Blas - Canillejas),2025-02-01,2025-03-31
By Lucipun ' Muladar creativo',http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=32d3ef5066735910VgnVCM2000001f4a900aRCRD,28001,CALLE NUÑEZ DE BALBOA 40,,"Espacio Cultural Núñez de Balboa, 40 (Salamanca)",2025-03-01,2025-03-21
Caminamos juntas,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=a54e02b68bf54910VgnVCM2000001f4a900aRCRD,28022,PLAZA EURIPIDES 1,10:30,Espacio de Igualdad Lucía Sánchez Saornil. San Blas-Canillejas,2025-01-07,2025-03-25
Centro de Interpretación del Paisaje de la Luz,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=842dc5eb8e915810VgnVCM1000001d4a900aRCRD,28014,PLAZA CIBELES 1,,CentroCentro,2022-12-14,2026-01-14
Chatines: club de lectura infantil,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=146e23279fad4910VgnVCM1000001d4a900aRCRD,28036,CALLE MANUEL FERRERO 1,17:30,Biblioteca Pública Municipal Dámaso Alonso (Chamartín),2025-02-27,2025-06-19
Ciclismo por Madrid,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=db40e3f0c91ea710VgnVCM2000001f4a900aRCRD,0,,00:00,,2024-09-01,2025-06-30
Cine familiar,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d4fd2e979f0a0910VgnVCM2000001f4a900aRCRD,28045,PLAZA LEGAZPI 8,,Cineteca Madrid,2024-09-15,2025-06-29
Círculo de ciudadanos,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ba197bfae6da4910VgnVCM2000001f4a900aRCRD,28029,AVENIDA MONFORTE DE LEMOS 38,17:00,Biblioteca Pública Municipal José Saramago (Fuencarral-El Pardo),2025-02-11,2025-12-16
Clara Torres Morenilla,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d25a6e29da735910VgnVCM2000001f4a900aRCRD,28028,CALLE ENRIQUE D'ALMONTE 1,,Centro Cultural Quinta del Berro - Rafael Altamira (Salamanca),2025-03-01,2025-03-15
Clases de árabe para niños,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=60ceedb3e8133910VgnVCM1000001d4a900aRCRD,28041,AVENIDA SAN FERMIN 10,18:00,Biblioteca Pública Municipal San Fermín (Usera),2024-12-13,2025-05-30
Club de lectura Biblioteca Vallecas,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=a0fd177728c21910VgnVCM2000001f4a900aRCRD,28053,CALLE PUERTO DEL MONASTERIO 1,10:00,Biblioteca Pública Municipal Vallecas (Puente de Vallecas),2024-09-27,2025-06-13
Club de lectura de novela gráfica. Premios Nacionales de cómic,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f5210dae9a6da810VgnVCM2000001f4a900aRCRD,28039,CALLE FRANCOS RODRIGUEZ 67,14:45,Biblioteca Pública Municipal Manuel Vázquez Montalbán (Tetuán),2024-09-24,2025-05-27
Club de lectura en BPM María Zambrano,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f6dc84c649ef4910VgnVCM2000001f4a900aRCRD,28029,PLAZA DONOSO 5,11:00,Biblioteca Pública Municipal María Zambrano (Tetuán),2025-02-19,2025-06-25
Club de lectura en francés,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=0c129daebdc45910VgnVCM2000001f4a900aRCRD,28041,PLAZA PUEBLO 2,17:00,Biblioteca Pública Municipal Gabriel García Márquez (Usera),2025-02-17,2025-05-19
Club de lectura en inglés 'Reading Club',http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=dc99b2481b1e1910VgnVCM2000001f4a900aRCRD,28002,CALLE MANTUANO 51,19:00,Biblioteca Pública Municipal Francisco Ibáñez (Chamartín),2024-10-08,2025-04-29
Club de lectura en inglés 'Reading Club',http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=663cb2481b1e1910VgnVCM2000001f4a900aRCRD,28022,CALLE MARIA SEVILLA DIAGO 15,19:00,Biblioteca Pública Municipal José Hierro (San Blas-Canillejas),2024-10-08,2025-04-29
Club de lectura en inglés 'Reading Club',http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=64c2b01c7d402910VgnVCM1000001d4a900aRCRD,28005,CALLE SAN JUSTO 5,19:00,Biblioteca Pública Municipal Iván de Vargas (Centro),2024-10-08,2025-04-29
